wals_code,iso_code,glottocode,Name,latitude,longitude,genus,family,macroarea,countrycodes
abd,abi,abid1235,Abidji,5.666666667,-4.583333333,Kwa,Niger-Congo,Africa,CI
ace,ace,achi1257,Acehnese,5.5,95.5,Malayo-Sumbawan,Austronesian,Eurasia,ID
acl,ach,acol1236,Acholi,3,32.66666667,Nilotic,Eastern Sudanic,Africa,UG SD
adi,adj,adio1239,Adioukrou,5.416666667,-4.583333333,Kwa,Niger-Congo,Africa,CI
adz,adz,adze1240,Adzera,-6.25,146.25,Oceanic,Austronesian,Papunesia,PG
afr,afr,afri1274,Afrikaans,-31,22,Germanic,Indo-European,Africa,ZA
agb,agb,legb1242,LeggbÃ³,6,8,Cross River,Niger-Congo,Africa,NG
agc,agt,cent2084,Agta (Central),17.96666667,121.8333333,Greater Central Philippine,Austronesian,Papunesia,PH
agd,duo,dupa1235,Agta (Dupaningan),18,122.0833333,Greater Central Philippine,Austronesian,Papunesia,PH
agh,agq,aghe1239,Aghem,6.666666667,10,Bantoid,Niger-Congo,Africa,CM
ajg,ajg,ajab1235,Ajagbe,7,1.75,Kwa,Niger-Congo,Africa,TG BJ
aji,aji,ajie1238,AjiÃ«,-21.33333333,165.5,Oceanic,Austronesian,Papunesia,NC
aka,axk,yaka1272,Aka,2.666666667,16.25,Bantoid,Niger-Congo,Africa,CF CG
akl,akl,akla1241,Aklanon,11.58333333,122.3333333,Greater Central Philippine,Austronesian,Papunesia,PH
akn,aka,akan1250,Akan,6.5,-1.25,Kwa,Niger-Congo,Africa,GH
ald,ald,alla1248,Alladian,5.166666667,-4.333333333,Kwa,Niger-Congo,Africa,CI
alk,apr,arop1243,Arop-Lokep,-5.383333333,147.05,Oceanic,Austronesian,Papunesia,PG
all,nrz,lala1268,Ala'ala,-8.916666667,146.75,Oceanic,Austronesian,Papunesia,PG
alt,gsw,swis1247,Alsatian,48.5,7.5,Germanic,Indo-European,Eurasia,FR
